Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": -1, "idx": "11943"}'
b'{"is_cold": false, "events": -1, "idx": "11944"}'
b'{"is_cold": false, "events": 4, "idx": "11945"}'
b'{"is_cold": false, "events": -1, "idx": "11946"}'
b'{"is_cold": false, "events": -1, "idx": "11947"}'
b'{"is_cold": false, "events": -1, "idx": "11948"}'
b'{"is_cold": false, "events": 4, "idx": "11949"}'
b'{"is_cold": false, "events": -1, "idx": "11950"}'
b'{"is_cold": false, "events": -1, "idx": "11951"}'
b'{"is_cold": false, "events": -1, "idx": "11952"}'
b'{"is_cold": false, "events": 5, "idx": "11953"}'
b'{"is_cold": false, "events": -1, "idx": "11954"}'
b'{"is_cold": false, "events": -1, "idx": "11955"}'
b'{"is_cold": false, "events": -1, "idx": "11956"}'
b'{"is_cold": false, "events": -1, "idx": "11957"}'
b'{"is_cold": false, "events": 6, "idx": "11958"}'
b'{"is_cold": false, "events": -1, "idx": "11959"}'
b'{"is_cold": false, "events": -1, "idx": "11960"}'
b'{"is_cold": false, "events": -1, "idx": "11961"}'
b'{"is_cold": false, "events": -1, "idx": "11962"}'
b'{"is_cold": false, "events": -1, "idx": "11963"}'
b'{"is_cold": false, "events": 4, "idx": "11964"}'
b'{"is_cold": false, "events": -1, "idx": "11965"}'
b'{"is_cold": false, "events": -1, "idx": "11966"}'
b'{"is_cold": false, "events": -1, "idx": "11967"}'
b'{"is_cold": false, "events": 3, "idx": "11968"}'
b'{"is_cold": false, "events": -1, "idx": "11969"}'
b'{"is_cold": false, "events": -1, "idx": "11970"}'
b'{"is_cold": false, "events": 5, "idx": "11971"}'
b'{"is_cold": false, "events": -1, "idx": "11972"}'
b'{"is_cold": false, "events": -1, "idx": "11973"}'
b'{"is_cold": false, "events": -1, "idx": "11974"}'
b'{"is_cold": false, "events": -1, "idx": "11975"}'
b'{"is_cold": false, "events": 3, "idx": "11976"}'
b'{"is_cold": false, "events": -1, "idx": "11977"}'
b'{"is_cold": false, "events": -1, "idx": "11978"}'
b'{"is_cold": false, "events": 2, "idx": "11979"}'
b'{"is_cold": false, "events": -1, "idx": "11980"}'
b'{"is_cold": false, "events": 5, "idx": "11981"}'
b'{"is_cold": false, "events": -1, "idx": "11982"}'
